Mineral Name,Mineral Name (plain),Mineral Name (HTML),Valence Chemistry,Valence Chemistry (concise),Valence Chemistry (HTML),IMA Chemistry (HTML),Chemistry Elements,RRUFF IDs,Database ID,Year First Published,IMA Status,Structural Groupname,Crystal Systems,Space Groups,Valence Elements,IMA Mineral Symbol,Paragenetic Modes,Mindat ID,Mindat Long ID,Mindat GUID,Mindat Updated,Mindat Entry Type,Mindat Entry Type Text,Mindat Formula,Mindat Formula Note,Mindat IMA Formula,Mindat IMA Status,Mindat IMA Notes,Mindat Description,Mindat Elements,Mindat Significant Elements,Mindat Key Elements,Mindat Discovery Year,Mindat Approval Year,Mindat Publication Year,Mindat IMA History,Mindat IMA Symbol,Mindat Strunz 10 Class,Mindat Strunz 10 Subclass,Mindat Strunz 10 Division,Mindat Strunz 10 Group,Mindat Dana 8 Class,Mindat Dana 8 Type,Mindat Dana 8 Group,Mindat Dana 8 Number,Mindat Colour,Mindat Streak,Mindat Lustre,Mindat Lustre Type,Mindat Diapheny,Mindat Hardness Minimum,Mindat Hardness Maximum,Mindat Hardness Type,Mindat Measured Density,Mindat Calculated Density,Mindat Crystal System,Mindat Crystal Class,Mindat Space Group,Mindat Unit Cell a,Mindat Unit Cell b,Mindat Unit Cell c,Mindat Unit Cell Alpha,Mindat Unit Cell Beta,Mindat Unit Cell Gamma,Mindat Unit Cell Volume,Mindat Cleavage,Mindat Cleavage Type,Mindat Fracture Type,Mindat Tenacity,Mindat Magnetism,Mindat Optical Type,Mindat Optical Sign,Mindat Optical Colour,Mindat Optical Birefringence,Mindat Optical 2V Calculated,Mindat Optical 2V Measured,Mindat Weighting
Abellaite,Abellaite,Abellaite,NaPb2+2(CO3)2(OH),NaPb^2+^_2_(CO_3_)_2_(OH),NaPb<sup>2+</sup><sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH),NaPb<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH),Na Pb C O H,,6482,2014,Approved,Not in a structural group,hexagonal,"P31c, P63mc",Na Pb^2+ C O H,Abe,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",47008,1:1:47008:3,09456ce9-e11d-4698-8d93-91fcbb2181d8,2025-08-11 12:15:14,0,mineral,NaPb<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH),,NaPb<sub>2</sub>(CO<sub>3</sub>)<sub>2</sub>(OH),APPROVED,,"Known synthetic analogue. Chemically similar to sanrománite.

For more information about this mineral, see https://www.mindat.org/photo-1307046.html",Na; Pb; O; C; H,Na; Pb; O; C; H,Pb,,2015,2017,,Abe,5,B,E,X,0,0,0,0,Colourless to white,White,,Vitreous,Transparent,0.0,0.0,0,,5.93,Hexagonal,18,114,5.254,,13.450,,,,321.5,,,,brittle,,,,,,,,132
Abelloemringerite,Abelloemringerite,Abelloemringerite,Cu2+2Pb2+2Mn3+Mn4+3O11(OH)(H2O)2·H2O,Cu^2+^_2_Pb^2+^_2_Mn^3+^Mn^4+^_3_O_11_(OH)(H_2_O)_2_·H_2_O,Cu<sup>2+</sup><sub>2</sub>Pb<sup>2+</sup><sub>2</sub>Mn<sup>3+</sup>Mn<sup>4+</sup><sub>3</sub>O<sub>11</sub>(OH)(H<sub>2</sub>O)<sub>2</sub>·H<sub>2</sub>O,Cu<sub>2</sub>Pb<sub>2</sub>Mn<sup>3+</sup>Mn<sup>4+</sup><sub>3</sub>O<sub>11</sub>(OH)(H<sub>2</sub>O)<sub>2</sub>·H<sub>2</sub>O,Cu Pb Mn O H,,7598,2025,"Approved, Pending publication",Not in a structural group,orthorhombic,Imma,Cu^2+ Pb^2+ Mn^3+ Mn^4+ O H,Abem,,494660,1:1:494660:7,,2026-02-24 22:42:51,0,mineral,Cu<sub>2</sub>Pb<sub>2</sub>Mn<sup>3+</sup>Mn<sup>4+</sup> <sub>3</sub>O<sub>11</sub>(OH)(H<sub>2</sub>O)<sub>2</sub>&middot;H<sub>2</sub>O,,Cu<sup>2+</sup><sub>2</sub>Pb<sup>2+</sup><sub>2</sub>Mn<sup>3+</sup>Mn<sup>4+</sup><sub>3</sub>O<sub>11</sub>(OH)(H<sub>2</sub>O)<sub>2</sub>·H<sub>2</sub>O,APPROVED; PENDING_PUBLICATION,,New structure type,Cu; Mn; Pb; O; H,Cu; Mn; Pb; O; H,Cu; Pb,,2025,0,,Abem,4,B,C,,,,,,,,,,,0.0,0.0,0,,,Orthorhombic,8,57,27.7635,5.5552,8.4078,,,,0.0,,,,,,,,,,,,1
Abelsonite,Abelsonite,Abelsonite,Ni2+C31H32N4,Ni^2+^C_31_H_32_N_4_,Ni<sup>2+</sup>C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>,NiC<sub>31</sub>H<sub>32</sub>N<sub>4</sub>,Ni C H N,,777,1975,Approved,Not in a structural group,triclinic,P1,Ni^2+ C H N,Abl,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals",1,1:1:1:5,464e5cfa-be77-4568-a724-62137f35df18,2026-08-04 17:10:22,0,mineral,Ni(C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>),,Ni<sup>2+</sup>C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>,APPROVED,,"Chemically a nickel porphyrine derivative, classified as deoxophylloerythroetioporphyrin. Unique combination of elements; the only organonickel mineral known. Formed at depth (Milton et al., 1978), likely from a chlorophyll (but likely not the chloroph...",Ni; N; C; H,Ni; N; C; H,N; Ni,1975,1975,1978,,Abl,10,C,A,20,50,4,9,1,"Pink-purple, dark greyish purple, pale purplish red, reddish brown",Pink,Sub-metallic to adamantine,"Adamantine,Sub-Metallic",Translucent,2.0,3.0,0,1.33,1.45,Triclinic,2,2,8.4416,10.8919,7.2749,90.465,113.158,78.080,0.0,Probable on <mi>{11_1}</mi>.,Poor/Indistinct,,,,Biaxial,,,,0,0,20
Abenakiite-(Ce),Abenakiite-(Ce),Abenakiite-(Ce),Na26Ce3+6(SiO3)6(PO4)6(CO3)6(S4+O2)O,Na_26_Ce^3+^_6_(SiO_3_)_6_(PO_4_)_6_(CO_3_)_6_(S^4+^O_2_)O,Na<sub>26</sub>Ce<sup>3+</sup><sub>6</sub>(SiO<sub>3</sub>)<sub>6</sub>(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(S<sup>4+</sup>O<sub>2</sub>)O,Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O,Na Ce Si O P C S,,778,1991,Approved,Not in a structural group,hexagonal,R3,Na Ce^3+ Si O P C S^4+,Abk-Ce,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks",2,1:1:2:4,fb40f3e1-f058-46fe-9008-e0036aae3ec7,2025-08-11 12:14:17,0,mineral,Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O,,Na<sub>26</sub>Ce<sup>3+</sup><sub>6</sub>(SiO<sub>3</sub>)<sub>6</sub>(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(S<sup>4+</sup>O<sub>2</sub>)O,APPROVED,,"Unique chemistry (the only Na-REE-Si-P-C mineral). Chemistry comparable to that of steenstrupine-(Ce).

Currently the only mineral with a supposed sulphur dioxide inclusion. Originally a single grain was found, making the mineral exceedingly rare. 
...",Ce; Na; Si; O; P; C; S,Ce; Na; Si; O; P; C; S,Ce,,1991,1994,,Abk-Ce,9,C,K,10,61,4,1,1,Pale brown,White,Vitreous,Vitreous,Transparent,4.0,5.0,0,3.21,3.27,Trigonal,10,80,16.018,0,19.761,0,0,0,0.0,{0001},Poor/Indistinct,Conchoidal,brittle,,Uniaxial,-,,,0,0,19
Abernathyite,Abernathyite,Abernathyite,K(U6+O2)As5+O4·3H2O,K(U^6+^O_2_)As^5+^O_4_·3H_2_O,K(U<sup>6+</sup>O<sub>2</sub>)As<sup>5+</sup>O<sub>4</sub>·3H<sub>2</sub>O,K(UO<sub>2</sub>)(AsO<sub>4</sub>)·3H<sub>2</sub>O,K U O As H,,779,1956,"Approved, Grandfathered",Trögerite,tetragonal,"P4/nmm, P4/ncc",K U^6+ O As^5+ H,Abn,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering",3,1:1:3:3,7e270e8f-93b1-419c-b49e-217d547d3df7,2026-01-14 01:40:20,0,mineral,K(UO<sub>2</sub>)(AsO<sub>4</sub>)&middot;3H<sub>2</sub>O,,K(U<sup>6+</sup>O<sub>2</sub>)As<sup>5+</sup>O<sub>4</sub>·3H<sub>2</sub>O,APPROVED; GRANDFATHERED,,"Meta-autunite Group. Chemically the As analogue of meta-ankoleite (both crystallize in the same point group).

A rare secondary uranium mineral.",As; O; K; H; U,As; O; K; H; U,As; U,1956,0,1956,,Abn,8,E,B,15,40,2a,9,1,yellow,pale yellow,Vitreous,"Sub-Vitreous,Resinous,Waxy,Greasy",Transparent,2.5,3.0,0,3.32,3.572,Tetragonal,27,184,7.176,0,18.126,0,0,0,0.0,Perfect on {001},Perfect,,brittle,,Uniaxial,-,,0.03,0,5,214
Abhurite,Abhurite,Abhurite,Sn2+21O6(OH)14Cl16,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn<sup>2+</sup><sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>,Sn<sup>2+</sup><sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>,Sn O H Cl,,780,1983,Approved,Not in a structural group,hexagonal,R32,Sn^2+ O H Cl,Abh,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes",4,1:1:4:2,7b925f9e-322d-4ad2-9689-03849f7ea289,2025-08-11 12:14:17,0,mineral,Sn<sub>21</sub>Cl<sub>16</sub>(OH)<sub>14</sub>O<sub>6</sub>,,Sn<sup>2+</sup><sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>,APPROVED,,"A tin hydroxychloride mineral.
This mineral is formed from the reaction of pure tin with sea water, and has exclusively been associated with tin ingots from shipwrecks. If discovered today it would be unlikely this would be accepted as a true mineral.",Cl; Sn; O; H,Cl; Sn; O; H,Cl; Sn,1983,1983,1977,,Abh,3,D,A,30,10,5,9,1,Colourless,White,,,Transparent,2.0,2.0,3,4.42,4.417,Trigonal,12,93,10.0175,0,44.014,0,0,0,0.0,,None Observed,Hackly,fragile,,Uniaxial,+,,,0,0,217
Abramovite,Abramovite,Abramovite,Pb2+2Sn4+In3+Bi3+S2-7,Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_,Pb<sup>2+</sup><sub>2</sub>Sn<sup>4+</sup>In<sup>3+</sup>Bi<sup>3+</sup>S<sup>2-</sup><sub>7</sub>,Pb<sub>2</sub>SnInBiS<sub>7</sub>,Pb Sn In Bi S,,5327,2006,Approved,Not in a structural group,triclinic,P1,Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-,Abm,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals",29261,1:1:29261:6,d064304c-87a1-430f-abfd-d6ad8235abae,2025-08-11 12:14:54,0,mineral,Pb<sub>2</sub>SnInBiS<sub>7</sub>,,Pb<sup>2+</sup><sub>2</sub>Sn<sup>4+</sup>In<sup>3+</sup>Bi<sup>3+</sup>S<sup>2-</sup><sub>7</sub>,APPROVED,,"Cylindrite Group. 

Unique combination of minerals; chemically similar to znamenskyite. Second Pb-In and In-Bi mineral after znamenskyite.

Forming in the environment with temperature of ca. 600oC.",Bi; In; Pb; Sn; S,Bi; In; Pb; Sn; S,Bi; In; Pb; Sn,,2006,2007,,Abm,2,H,F,25a,3,1,3,3,Silvery Black,Black,,Metallic,Opaque,0.0,0.0,0,0,0,Triclinic,2,2,23.4,5.77,5.83,89.1,89.9,91.5,0.0,{100},Perfect,,,,,,white with yellowish grey tones,,0,0,71
Abswurmbachite,Abswurmbachite,Abswurmbachite,Cu2+Mn3+6O8(SiO4),Cu^2+^Mn^3+^_6_O_8_(SiO_4_),Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>),Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>),Cu Mn O Si,,781,1990,Approved,Braunite,tetragonal,I41/acd,Cu^2+ Mn^3+ O Si,Abs,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics",9,1:1:9:7,befbce36-2949-4a16-a3df-07b5844bb1e2,2025-08-11 12:14:17,0,mineral,CuMn<sup>3+</sup><sub>6</sub>(SiO<sub>4</sub>)O<sub>8</sub>,,Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>O<sub>8</sub>(SiO<sub>4</sub>),APPROVED,,"Forms a series with braunite. The third approved Cu-Mn silicate mineral, as such somewhat similar to dixenite and stavelotite-(La).",Cu; Mn; Si; O,Cu; Mn; Si; O,Cu,1990,1990,1991,,Abs,9,A,G,05,7,5,1,4,Black,Brownish black,,Metallic,Opaque,6.5,6.5,0,0,4.96,Tetragonal,27,177,9.406,0,18.546,0,0,0,1640.82,,None Observed,,brittle,,,,Gray,,0,0,4
Abuite,Abuite,Abuite,CaAl2(PO4)2F2,CaAl_2_(PO_4_)_2_F_2_,CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>,CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>,Ca Al P O F,,6382,2014,Approved,Not in a structural group,orthorhombic,P212121,Ca Al P O F,Abu,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration",46490,1:1:46490:3,420d43d3-0aa8-494a-b29f-47996dac8308,2025-08-11 12:15:13,0,mineral,CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>,,CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>F<sub>2</sub>,APPROVED,,"Chemically similar to galliskiite that, however, is hydrated.
Chemically the anhydrous F-analogue of gatumbaite.

The Ca analogue of synthetic SrAl2(PO4)2F2 (Le Meins and Courbion, 1998).",Al; Ca; O; P; F,Al; Ca; O; P; F,,,2015,2017,,Abu,8,B,0,,,,,,Colourless,White,,Vitreous,Transparent,0.0,0.0,0,,3.214,Orthorhombic,7,44,11.818,11.993,4.6872,,,,664.3,,None Observed,,,,,,,,,,16
Acanthite,Acanthite,Acanthite,Ag1+2S2-,Ag^1+^_2_S^2-^,Ag<sup>1+</sup><sub>2</sub>S<sup>2-</sup>,Ag<sub>2</sub>S,Ag S,,782,1855,"Approved, Grandfathered",Acanthite,monoclinic,P21/n,Ag^1+ S^2-,Aca,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization",10,1:1:10:5,42460b0a-a0f4-4a29-8046-035a65bb60c0,2026-03-12 17:19:04,0,mineral,Ag<sub>2</sub>S,,Ag<sup>1+</sup><sub>2</sub>S<sup>2-</sup>,APPROVED; GRANDFATHERED,,"Acanthite is the low-temperature modification of silver sulphide. 

All natural silver sulphide specimens at room temperatures are acanthite. 
The structure of Argentite, the high-temperature cubic (isometric) form cannot be quenched. At atmospheric...",Ag; S,Ag; S,Ag,1855,0,0,,Aca,2,B,A,35,2,4,1,1,"lead grey, black",lead grey,Metallic,Metallic,Opaque,2.0,2.5,3,7.2,7.24,Monoclinic,5,15,4.229,6.931,7.862,0,99.61,0,0.0,,None Observed,Sub-Conchoidal,sectile,,,,,,0,0,25714
