source_index,target_index,neighbor_rank,distance
0,5171,1,0.7507440464781137
0,2466,2,0.7809811460995925
0,4470,3,0.7931734203992303
0,5977,4,0.888491754490965
0,3123,5,0.9183019600062383
0,3302,6,0.9183019600062383
0,5340,7,0.9183019600062383
0,39,8,1.0693364326074448
0,5527,9,1.1623221392803986
0,393,10,1.4289290762447782
1,3993,1,1.0667259398058613
1,460,2,1.0892320162268738
1,6051,3,1.1439106532926788
1,598,4,1.205067953776776
1,5126,5,1.2162012826793094
1,3188,6,1.2276946734975072
1,6063,7,1.228072435057539
1,2720,8,1.2995400652053213
1,2947,9,1.329694926920251
1,3817,10,1.3317183886029302
2,4413,1,0.20645424010563784
2,2533,2,0.20645424010563784
2,4692,3,0.20645424010563784
2,2397,4,0.20645424010563784
2,1616,5,0.20645424010563784
2,701,6,0.20645424010563784
2,5910,7,0.20645424010563784
2,1397,8,0.20645424010563784
2,1806,9,0.20645424010563784
2,2970,10,0.20645424010563784
3,931,1,0.9025241192449716
3,47,2,0.9673964737073646
3,3868,3,1.0597543006382297
3,4235,4,1.0597543006382297
3,4872,5,1.2455326928703168
3,5672,6,1.3254968149517166
3,5671,7,1.391419252931933
3,3841,8,1.5576974173296905
3,5006,9,1.5997031958754349
3,5913,10,1.6140523621879528
4,3601,1,0.15998106629355935
4,5634,2,0.44160383983616985
4,1010,3,0.4696891449993474
4,3613,4,0.6350359528887818
4,3619,5,0.6352477670678682
4,3612,6,0.6356797026875172
4,3617,7,0.8377973835045485
4,3631,8,0.9054772630852223
4,3618,9,0.9245759943481094
4,901,10,0.9354840558770993
5,6075,1,1.096185297650151
5,686,2,1.104096930496951
5,515,3,1.1047342584629642
5,3100,4,1.1136496606687676
5,4227,5,1.1136496606687676
5,648,6,1.1513793251924145
5,4574,7,1.1899272590345817
5,1055,8,1.2537742965610168
5,4995,9,1.3282382046566499
5,6080,10,1.3460997187288402
6,6204,1,0.509564111418164
6,4569,2,0.9120910711228086
6,1662,3,0.9140670878640819
6,865,4,0.9223495346295827
6,6004,5,0.9287074871801079
6,1208,6,0.9316369002715041
6,2640,7,0.9595566376928901
6,4006,8,0.9858997964490247
6,3000,9,0.9962437370130447
6,525,10,1.0054095649344368
7,3913,1,0.565362958638727
7,3066,2,0.9282256804085877
7,6073,3,1.0523860497372457
7,2803,4,1.1915533129665974
7,4088,5,1.2269898224061773
7,5172,6,1.3162986981156841
7,2665,7,1.3740077627645082
