Mineral Name,Valence Chemistry (concise),Valence Elements,Parsed Species,Parsed Elements,Expected Species,Validation Status,Missing Elements,Extra Elements,Charge Mismatches
Abellaite,NaPb^2+^_2_(CO_3_)_2_(OH),Na Pb^2+ C O H,Na Pb^2+ C O H,Na Pb C O H,Na Pb^2+ C O H,valid,,,
Abelloemringerite,Cu^2+^_2_Pb^2+^_2_Mn^3+^Mn^4+^_3_O_11_(OH)(H_2_O)_2_·H_2_O,Cu^2+ Pb^2+ Mn^3+ Mn^4+ O H,Cu^2+ Pb^2+ Mn^3+ Mn^4+ O H,Cu Pb Mn O H,Cu^2+ Pb^2+ Mn^3+ Mn^4+ O H,valid,,,
Abelsonite,Ni^2+^C_31_H_32_N_4_,Ni^2+ C H N,Ni^2+ C H N,Ni C H N,Ni^2+ C H N,valid,,,
Abenakiite-(Ce),Na_26_Ce^3+^_6_(SiO_3_)_6_(PO_4_)_6_(CO_3_)_6_(S^4+^O_2_)O,Na Ce^3+ Si O P C S^4+,Na Ce^3+ Si O P C S^4+,Na Ce Si O P C S,Na Ce^3+ Si O P C S^4+,valid,,,
Abernathyite,K(U^6+^O_2_)As^5+^O_4_·3H_2_O,K U^6+ O As^5+ H,K U^6+ O As^5+ H,K U O As H,K U^6+ O As^5+ H,valid,,,
Abhurite,Sn^2+^_21_O_6_(OH)_14_Cl_16_,Sn^2+ O H Cl,Sn^2+ O H Cl,Sn O H Cl,Sn^2+ O H Cl,valid,,,
Abramovite,Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_,Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-,Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-,Pb Sn In Bi S,Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-,valid,,,
Abswurmbachite,Cu^2+^Mn^3+^_6_O_8_(SiO_4_),Cu^2+ Mn^3+ O Si,Cu^2+ Mn^3+ O Si,Cu Mn O Si,Cu^2+ Mn^3+ O Si,valid,,,
Abuite,CaAl_2_(PO_4_)_2_F_2_,Ca Al P O F,Ca Al P O F,Ca Al P O F,Ca Al P O F,valid,,,
Acanthite,Ag^1+^_2_S^2-^,Ag^1+ S^2-,Ag^1+ S^2-,Ag S,Ag^1+ S^2-,valid,,,
Acetamide,CH_3_CONH_2_,C H O N,C H O N,C H O N,C H O N,valid,,,
Achalaite,Fe^2+^Ti^4+^Nb^5+^_2_O_8_,Fe^2+ Ti^4+ Nb^5+ O,Fe^2+ Ti^4+ Nb^5+ O,Fe Ti Nb O,Fe^2+ Ti^4+ Nb^5+ O,valid,,,
Achávalite,FeSe,Fe Se,Fe Se,Fe Se,Fe Se,valid,,,
Achyrophanite,"(K,Na)_3_(Fe^3+^,Ti^4+^,Al,Mg)_5_O_2_(As^5+^O_4_)_5_",K Na Fe^3+ Ti^4+ Al Mg O As^5+,K Na Fe^3+ Ti^4+ Al Mg O As^5+,K Na Fe Ti Al Mg O As,K Na Fe^3+ Ti^4+ Al Mg O As^5+,valid,,,
Acmonidesite,"(N^3-^H_4_,K,Pb^2+^,Na)_9_Fe^2+^_4_(S^6+^O_4_)_5_Cl_8_",N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl,N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl,N H K Pb Na Fe S O Cl,N^3- H K Pb^2+ Na Fe^2+ S^6+ O Cl,valid,,,
Actinolite,Ca_2_(Mg_4.5-2.5_Fe^2+^_0.5-2.5_)Si_8_O_22_(OH)_2_,Ca Mg Fe^2+ Si O H,Ca Mg Fe^2+ Si O H,Ca Mg Fe Si O H,Ca Mg Fe^2+ Si O H,valid,,,
Acuminite,SrAlF_4_(OH)·H_2_O,Sr Al F O H,Sr Al F O H,Sr Al F O H,Sr Al F O H,valid,,,
Adachiite,CaFe^2+^_3_Al_6_(Si_5_AlO_18_)(BO_3_)_3_(OH)_3_(OH),Ca Fe^2+ Al Si O B H,Ca Fe^2+ Al Si O B H,Ca Fe Al Si O B H,Ca Fe^2+ Al Si O B H,valid,,,
Adamite,Zn^2+^_2_As^5+^O_4_(OH),Zn^2+ As^5+ O H,Zn^2+ As^5+ O H,Zn As O H,Zn^2+ As^5+ O H,valid,,,
Adamsite-(Y),NaY(CO_3_)_2_·6H_2_O,Na Y C O H,Na Y C O H,Na Y C O H,Na Y C O H,valid,,,
Adanite,Pb^2+^_2_(Te^4+^O_3_)(S^6+^O_4_),Pb^2+ Te^4+ O S^6+,Pb^2+ Te^4+ O S^6+,Pb Te O S,Pb^2+ Te^4+ O S^6+,valid,,,
Addibischoffite,Ca_2_Al_6_Al_6_O_20_,Ca Al O,Ca Al O,Ca Al O,Ca Al O,valid,,,
Adelite,CaMgAs^5+^O_4_(OH),Ca Mg As^5+ O H,Ca Mg As^5+ O H,Ca Mg As O H,Ca Mg As^5+ O H,valid,,,
Admontite,MgB_6_O_10_·7H_2_O,Mg B O H,Mg B O H,Mg B O H,Mg B O H,valid,,,
Adolfpateraite,K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O),K U^6+ O S^6+ H,K U^6+ O S^6+ H,K U O S H,K U^6+ O S^6+ H,valid,,,
Adranosite,(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_,N^3- H Na Al S^6+ O Cl,N^3- H Na Al S^6+ O Cl,N H Na Al S O Cl,N^3- H Na Al S^6+ O Cl,valid,,,
Adranosite-(Fe),(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_,N^3- H Na Fe^3+ S^6+ O Cl,N^3- H Na Fe^3+ S^6+ O Cl,N H Na Fe S O Cl,N^3- H Na Fe^3+ S^6+ O Cl,valid,,,
Adrianite,Ca_12_(Al_4_Mg_3_Si_7_)O_32_Cl_6_,Ca Al Mg Si O Cl,Ca Al Mg Si O Cl,Ca Al Mg Si O Cl,Ca Al Mg Si O Cl,valid,,,
Aegirine,NaFe^3+^Si_2_O_6_,Na Fe^3+ Si O,Na Fe^3+ Si O,Na Fe Si O,Na Fe^3+ Si O,valid,,,
Aegirine-augite,"(Ca,Na)(Fe^3+^,Mg,Fe^2+^)Si_2_O_6_",Ca Na Fe^3+ Mg Fe^2+ Si O,Ca Na Fe^3+ Mg Fe^2+ Si O,Ca Na Fe Mg Si O,Ca Na Fe^3+ Mg Fe^2+ Si O,valid,,,
Aenigmatite,Na_4_(Fe^2+^_10_Ti^4+^_2_)O_4_[Si_12_O_36_],Na Fe^2+ Ti^4+ O Si,Na Fe^2+ Ti^4+ O Si,Na Fe Ti O Si,Na Fe^2+ Ti^4+ O Si,valid,,,
Aerinite,"(Ca,Na)_6_(Fe^3+^,Fe^2+^,Mg,Al)_4_(Al,Mg)_6_Si_12_O_36_(OH)_12_(CO_3_)·12H_2_O",Ca Na Fe^3+ Fe^2+ Mg Al Si O H C,Ca Na Fe^3+ Fe^2+ Mg Al Si O H C,Ca Na Fe Mg Al Si O H C,Ca Na Fe^3+ Fe^2+ Mg Al Si O H C,valid,,,
Aerugite,Ni^2+^_8.5_(As^5+^O_4_)_2_As^5+^O_8_,Ni^2+ As^5+ O,Ni^2+ As^5+ O,Ni As O,Ni^2+ As^5+ O,valid,,,
