mineral_index,Mineral Name,Derived Strunz Top-Level,Structural Groupname,Crystal Systems,MDS 1,MDS 2,MDS 3
0,Abellaite,05,Not in a structural group,hexagonal,-0.17020653899125654,-0.2409683002679343,-0.06133539168001413
1,Abelloemringerite,04,Not in a structural group,orthorhombic,0.6191179333938143,-0.11551066456699727,0.015375057500484662
2,Abelsonite,10,Not in a structural group,triclinic,0.6323774218131257,-0.026506765896933307,0.017097980128834622
3,Abenakiite-(Ce),09,Not in a structural group,hexagonal,-0.1956446981323302,-0.16745874314624865,0.09766092358749062
4,Abernathyite,08,Trögerite,tetragonal,-0.24437732576563032,-0.19656185200688386,0.3455692751229142
5,Abhurite,03,Not in a structural group,hexagonal,0.6254260236910161,-0.1060513623074931,0.011420265937887164
6,Abramovite,02,Not in a structural group,triclinic,0.6471365224781425,-0.03803721599576478,-0.013022588171442544
7,Abswurmbachite,09,Braunite,tetragonal,-0.1737213311910726,-0.10410694289742912,0.03922133736334741
8,Abuite,08,Not in a structural group,orthorhombic,-0.25422775634815875,0.0022090256846538404,0.32453917215147476
9,Acanthite,02,Acanthite,monoclinic,0.6944191096694468,-0.049184976473974434,0.00832684412111598
10,Acetamide,10,Not in a structural group,hexagonal,0.6270372461975946,-0.0726042802564707,0.017190842702585953
11,Achalaite,04,Columbite,monoclinic,0.6539284857815034,-0.09457933781483188,0.051681101877281595
12,Achávalite,02,Nickeline,hexagonal,0.6106436799364408,0.0011729157521659424,0.01947493825019217
13,Achyrophanite,08,Not in a structural group,orthorhombic,-0.21969891132958622,-0.1209480079124759,0.3410350602384735
14,Acmonidesite,07,Not in a structural group,orthorhombic,-0.25218524403285103,-0.15973462044057263,-0.2797215922949951
15,Actinolite,09,Amphibole,monoclinic,0.5720699106582314,-0.06364625550981981,0.05069013443107319
16,Acuminite,03,Tikhonenkovite,monoclinic,0.5958221365654184,-0.0531707231913341,0.021752415670444756
17,Adachiite,09,Tourmaline,hexagonal,-0.1504068825139128,-0.19919013851297787,-0.007252841073397652
18,Adamite,08,Andalusite,orthorhombic,-0.23532093868280968,-0.14730300356992726,0.33030994276092623
19,Adamsite-(Y),05,Not in a structural group,triclinic,-0.2880426470987117,0.2670024357667494,-0.09937194391496107
20,Adanite,07,,monoclinic,-0.32828194626176666,0.27906709902983723,-0.42998840130864746
21,Addibischoffite,04,Sapphirine,triclinic,0.6089413789041058,-0.0721645112506972,0.0048348374053054505
22,Adelite,08,Conichalcite,orthorhombic,-0.2301272750690379,-0.152729870305687,0.32518501541523237
23,Admontite,06,Not in a structural group,monoclinic,0.5945588856435806,0.014894876084520907,0.030137444824635217
24,Adolfpateraite,07,Not in a structural group,monoclinic,-0.22340739796859774,-0.2953917241482338,-0.25637887232740175
25,Adranosite,07,Adranosite,tetragonal,-0.23884004590184896,-0.19837235092335803,-0.277363032900491
26,Adranosite-(Fe),07,Adranosite,tetragonal,-0.2401580726319127,-0.1960630596609873,-0.2716389419013848
27,Adrianite,09,,cubic,0.5936311902342577,-0.022651506311667173,0.01813694151395081
28,Aegirine,09,Pyroxene,monoclinic,0.5974437379678839,-0.03915008542393997,0.04590356675805915
29,Aegirine-augite,09,Pyroxene,monoclinic,0.5781010095595086,-0.03429477074184423,0.04922253161298232
30,Aenigmatite,09,Sapphirine,triclinic,0.5987486372803339,-0.04486987999974115,0.04077941464454753
31,Aerinite,09,Not in a structural group,hexagonal,-0.1982372094850931,-0.24857245293693556,-0.020814073057071572
32,Aerugite,08,Not in a structural group,hexagonal,-0.29695318104865925,0.41672600953519984,0.31866487153077583
33,Aeschynite-(Ce),04,Aeschynite,orthorhombic,0.6677322695817131,-0.08615616515946736,0.054283690714588516
34,Aeschynite-(Nd),04,Aeschynite,orthorhombic,0.6623319804898642,-0.0876395377327224,0.04509565766709149
35,Aeschynite-(Y),04,Aeschynite,orthorhombic,0.661811775345411,-0.08726969947217607,0.045162728019531445
36,Afghanite,09,Cancrinite-sodalite,hexagonal,-0.21394084261268992,-0.18461182813940924,-0.25950177674468244
37,Afmite,08,,triclinic,-0.23559595098120573,-0.2269834312810512,0.3179258055395697
38,Afwillite,09,Spurrite-Afwillite,"monoclinic, triclinic",-0.16349516594182611,-0.23295767021895541,0.017491277263556666
39,Agaite,05,Not in a structural group,orthorhombic,-0.19130350188726078,-0.253967451866123,-0.21966561928171074
40,Agakhanovite-(Y),09,Milarite,hexagonal,0.6066076768521268,-0.028989009737706142,0.02636762296881541
41,Agardite-(Ce),08,Mixite,hexagonal,-0.24077796562056597,-0.2111017332109004,0.3135539685051677
42,Agardite-(La),08,Mixite,hexagonal,-0.2407051802696213,-0.21112868910077198,0.3134175879978535
43,Agardite-(Nd),08,Mixite,hexagonal,-0.2397746863907264,-0.21151491438768222,0.31185820747460724
44,Agardite-(Y),08,Mixite,hexagonal,-0.2398008035031273,-0.21149810724875487,0.31191170962410114
45,Agmantinite,02,Wurtzite,"monoclinic, orthorhombic",0.6683771518849365,-0.03745872780364836,0.03503965739570804
46,Agrellite,09,Not in a structural group,triclinic,0.5979575059536003,-0.02334461454735197,0.02681495930620293
47,Agricolaite,05,Not in a structural group,monoclinic,-0.16588550160435345,-0.22080619841438656,-0.04432350595782238
48,Agrinierite,04,Compreignacite,orthorhombic,0.6226481626495572,-0.23181464118380962,0.03287488287018677
49,Aguilarite,02,Acanthite,"orthorhombic, monoclinic",0.6947336077560979,-0.049645724425721474,0.006592247997233888
50,Aheylite,08,Turquoise,triclinic,-0.24073214069976126,-0.21216935284670105,0.3242158508755604
51,Ahlfeldite,04,Cobaltomenite,monoclinic,-0.3387891297768516,0.28843306632492266,-0.3728231294216081
52,Ahrensite,09,Spinel,cubic,0.6073490586770118,-0.020675987856316323,0.008788020025793451
53,Aikinite,02,Meneghinite,orthorhombic,0.6595043781549513,-0.035571056021585605,-0.023807443297058008
54,Aiolosite,07,Apatite,hexagonal,-0.23814918083057146,-0.07206868967120791,-0.2977482876736445
55,Airdite,08,,monoclinic,-0.254024844757408,-0.07214965153881585,0.34064581973164043
56,Ajoite,09,Ajoite,triclinic,0.6103417906382383,-0.18360036358468174,0.0018400898263865664
57,Akaganeite,03,Coronadite,"monoclinic, tetragonal",0.5855395885582395,-0.15084755529928082,0.04717057048139664
58,Akaogiite,04,Baddeleyite,monoclinic,0.6775155668042364,-0.08134418622872966,0.044383340321407366
59,Akasakaite-(Ce),09,Epidote,monoclinic,-0.17545069671900004,-0.1630948984677345,0.03792582543354054
60,Akasakaite-(La),09,Epidote,monoclinic,-0.17527367063374716,-0.16318797285369901,0.03749231166336045
61,Akatoreite,09,Not in a structural group,triclinic,0.5889080752111918,-0.12273955640785437,0.04434674230530594
62,Akdalaite,04,Nolanite,"hexagonal, orthorhombic",0.6075508242891017,-0.11432674321216371,0.009239730508442217
63,Åkermanite,09,Melilite,tetragonal,0.5943082443827714,-0.010420335189787893,0.0277022598169857
64,Akhtenskite,04,Feroxyhyte,hexagonal,0.6413499078749232,-0.035821044296616034,0.057496201483945075
65,Akimotoite,09,Corundum,hexagonal,-0.25544896748851426,0.364780562398094,-0.055134885191254424
66,Aklimaite,09,Not in a structural group,monoclinic,0.588557445693062,-0.18090368178603108,0.028400942259327343
67,Akopovaite,05,Hydrotalcite,monoclinic,-0.17792600800193722,-0.29186205315928904,-0.03246099870033579
68,Akrochordite,08,Akrochordite,monoclinic,-0.24250086370495944,-0.1774288560549298,0.34306027929047
69,Aksaite,06,Not in a structural group,orthorhombic,0.6004415019952971,-0.1547926883528647,0.032818986697552996
70,Aktashite,02,Nowackiite,hexagonal,0.6785586395605124,-0.03193709620470857,-0.012885046882119612
71,Alabandite,02,Rocksalt,cubic,0.6281633600292196,0.016196730699567435,0.018778992568015927
72,Alacránite,02,Not in a structural group,monoclinic,0.7910496816935351,0.0393503487943759,-0.026727977665760662
73,Alamosite,09,Not in a structural group,monoclinic,-0.2584803382885108,0.35569047602828285,-0.14618085188409996
74,Alarsite,08,Quartz,hexagonal,-0.3245090115647478,0.33945681957115525,0.2828994124568599
75,Albertiniite,04,Albertiniite,monoclinic,-0.3455334037990699,0.27319587020183955,-0.37657681079344596
76,Albite,09,Feldspar,triclinic,0.6070783164661818,-0.05455487742880513,0.016014679814835456
77,Albrechtschraufite,05,Not in a structural group,triclinic,-0.202001994334935,-0.2252663831999715,-0.0476538250665295
78,Alburnite,02,Argyrodite,cubic,0.6903968121638052,-0.05051331810480038,0.00813743355202725
79,Alcantarillaite,08,Walentaite,orthorhombic,-0.24781950916647613,-0.08538018136324155,0.3551550810422798
80,Alcaparrosaite,07,Alcaparrosaite,monoclinic,-0.21713389446376646,-0.21840179098439266,-0.2474278736843622
81,Aldermanite,08,Aldermanite,"orthorhombic, monoclinic",-0.24682464963511863,-0.22422044387211854,0.3441189225847074
82,Aldomarinoite,08,Brackebuschite,monoclinic,-0.22832551324812728,-0.14861124171561202,0.33655482716045065
83,Aldridgeite,07,Devilline,monoclinic,-0.22340879613166176,-0.281790856944178,-0.26436892665241263
84,Aleksandrovite,09,Baratovite,monoclinic,0.6078861110178375,-0.04006546749400493,0.030954707989237815
85,Aleksite,02,Tetradymite,hexagonal,0.6562981322350762,-0.013445475476077029,-0.01396617787147275
86,Aleutite,08,Not in a structural group,monoclinic,-0.23638955903736522,-0.09061860111872268,0.29648319424707076
87,Alexearlite,07,Not in a structural group,orthorhombic,-0.1646216796414009,-0.06412545918053664,-0.038715333828503444
88,Alexkhomyakovite,05,Not in a structural group,hexagonal,-0.2142787224467307,-0.09811079447571709,-0.05899177076035714
89,Alexkuznetsovite-(Ce),09,Biraite,monoclinic,-0.17174400374804652,-0.14928698665596302,-0.030777694358484896
90,Alexkuznetsovite-(La),09,Biraite,monoclinic,-0.17148794109605242,-0.14962146878753152,-0.031612331465136576
91,Alexshubnikovite,08,Tyrolite,monoclinic,-0.25491270974564645,-0.2239237743008497,0.3264872966378526
92,Alflarsenite,09,,monoclinic,0.5945498780493731,-0.09157209175588395,0.032000408590155405
93,Alforsite,08,Apatite,hexagonal,-0.25644377584554046,0.016987461515339544,0.33258182691462396
94,Alfredcasparite,09,Melilite,tetragonal,0.6264034440140641,-0.04849284697773811,0.036383882356018866
95,Alfredopetrovite,04,Not in a structural group,hexagonal,-0.3149847339278629,0.2449208550829413,-0.388431642526515
96,Alfredstelznerite,06,Not in a structural group,orthorhombic,0.6166802946216164,-0.18479345066491737,0.025994790407591416
97,Algodonite,02,Not in a structural group,hexagonal,0.6741652607137015,0.09517110593964273,-0.020796467305159907
98,Alicewilsonite-(YCe),05,Mckelveyite,triclinic,-0.29448237490206386,0.26040834798759493,-0.08800513652155273
99,Alicewilsonite-(YLa),05,Mckelveyite,triclinic,-0.2943314994555479,0.2604516723538766,-0.0884699278401315
100,Aliettite,09,"Corrensite, Clay",,0.5825378382144252,-0.11688363546526839,0.02777940323419775
101,Allabogdanite,01,Barringerite,orthorhombic,0.6325830102949915,0.12612047999796355,0.017200661432629525
102,Allactite,08,Allactite,monoclinic,-0.23013855953347068,-0.17062018282066005,0.3309190475377106
103,Allanite-(Ce),09,"Allanite, Epidote",monoclinic,-0.17622932260274982,-0.16359589903093574,0.03499316766551779
104,Allanite-(La),09,"Allanite, Epidote",monoclinic,-0.17605206067644244,-0.16369040320562786,0.03455873202963987
105,Allanite-(Nd),09,"Allanite, Epidote",monoclinic,-0.17410869924102945,-0.16263152784747886,0.0317843106668097
106,Allanite-(Sm),09,"Allanite, Epidote",monoclinic,-0.17404534920787978,-0.1626783621744069,0.03179878053213969
107,Allanite-(Y),09,"Allanite, Epidote",monoclinic,-0.17409355164982135,-0.16253168809599594,0.03189591787011062
108,Allanpringite,08,Wavellite,monoclinic,-0.24632532132881885,-0.19277833122386978,0.3418855583833255
109,Allantoin,10,,monoclinic,0.6262508318338023,-0.0768263825433976,0.016969421111151323
110,Allargentum,02,Allargentum,hexagonal,0.6324233671846641,0.5286406367338025,-0.0509508972898554
111,Alleghanyite,09,Humite,monoclinic,-0.18450055250319136,-0.16443624126092737,0.041806865231811124
112,Allendeite,04,,hexagonal,0.6346564848076927,-0.08229593123723539,0.02954748287533821
113,Allochalcoselite,03,Not in a structural group,monoclinic,-0.2154284633910385,-0.1315956350928555,-0.36520222654341483
114,Alloclasite,02,Marcasite,monoclinic,0.6474142292141314,0.07612171949293632,0.04576455598771767
115,Allophane,09,Allophane,,-0.08256144146696923,-0.1541962235674398,-0.026881573782206757
116,Alloriite,09,"Cancrinite-sodalite, Cancrinite",hexagonal,-0.22126579733178547,-0.20599424619945572,-0.23771074349822502
117,Alluaivite,09,Eudialyte,hexagonal,0.6090488542912541,-0.06872600232936553,0.045727598471786174
118,Alluaudite,08,Alluaudite,monoclinic,-0.3415370372579305,0.3374234651650719,0.31510525977977477
119,Almagreraite,04,Nolanite,orthorhombic,0.6246099389669816,-0.05197021591220643,0.035928545283997054
120,Almandine,09,Garnet,cubic,-0.2837685028534402,0.34711223931229146,-0.034424135179965995
121,Almarudite,09,Milarite,hexagonal,0.5866289169425281,-0.03798342912453378,0.03943200546297167
122,Almeidaite,04,Crichtonite,hexagonal,0.6196837905496712,-0.0783231834490804,0.0606069044425963
123,Alnaperbøeite-(Ce),09,Gatelite,monoclinic,-0.17256833885907075,-0.1762949356806231,0.03484544717681759
124,Alpeite,09,Ardennite,orthorhombic,-0.2075046500357316,-0.17921889312008427,0.16275807818645713
125,Alpersite,07,Melanterite,monoclinic,-0.3446447462675969,0.27549068129808474,-0.3232771660007339
126,Alsakharovite-Zn,09,Labuntsovite,monoclinic,0.6351899922724229,-0.1601329653225676,0.0590318643561145
127,Alstonite,05,Alstonite,"triclinic, orthorhombic, hexagonal",-0.27910954586752856,0.2960584983720111,-0.11142575189821548
128,Altaite,02,Rocksalt,cubic,0.6492492272735552,-0.02384994935879131,-0.058048120534444164
129,Alterite,10,"Alterite, Oxalate",monoclinic,-0.24826258413686103,-0.2520115355811967,-0.24919535422853922
130,Althausite,08,Not in a structural group,orthorhombic,-0.23563611399277923,-0.08988281306574418,0.33174769731942455
131,Althupite,08,Not in a structural group,triclinic,-0.25579570354608877,-0.25927138216573287,0.3673594130527458
132,Altisite,09,Lemoynite,monoclinic,0.6196217640364193,-0.05613198445646997,0.03310279296733917
133,Aluminite,07,Aluminite,monoclinic,-0.22756727036297508,-0.2978398404536486,-0.261892949578282
134,Aluminium,01,Copper,cubic,0.5957119325185212,0.5026636989689,-0.06020424662010137
135,Aluminoceladonite,09,Mica,"monoclinic, hexagonal",0.5755650147748737,-0.1245905956961181,0.04700382354322405
136,Aluminocerite-(CeCa),09,Cerite,hexagonal,-0.1783475437777344,-0.20450952767444042,0.030754371969563172
137,Aluminocopiapite,07,Copiapite,triclinic,-0.25117155428989035,-0.2548160489201497,-0.25488212727272996
138,Aluminocoquimbite,07,Coquimbite,hexagonal,-0.36295053879363004,0.24578621571222864,-0.3495822784734144
139,Aluminomagnesiohulsite,06,Hulsite,monoclinic,-0.14857780802628162,-0.13304773821531038,-0.0029499094230538907
140,Alumino-oxy-rossmanite,09,Tourmaline,hexagonal,-0.14224483025555987,-0.1946103438652917,-0.01996306005707226
141,Aluminopyracmonite,07,Pyracmonite,hexagonal,-0.25586925624518975,-0.15800391299595576,-0.29479866508226504
142,Aluminosugilite,09,Milarite,hexagonal,0.6142259528523364,-0.051881551058032646,0.01955863708103891
143,Aluminotaipingite-(CeCa),09,Cerite,hexagonal,-0.18067060066495416,-0.1740325091016391,0.028085504640233336
144,Alum-(K),07,Alum,cubic,-0.3412563776432439,0.23166916155186987,-0.3503181175894984
145,Alum-(Na),07,Alum,cubic,-0.34148761462140653,0.23001209342350315,-0.3470866335721728
146,Alumoåkermanite,09,Melilite,tetragonal,0.5811127712477584,-0.045814624505873536,0.04089337009710545
147,Alumoedtollite,08,Edtollite,triclinic,-0.2245731457710797,-0.1372934912072309,0.30559808318153114
148,Alumohydrocalcite,05,Alumohydrocalcite,triclinic,-0.1861071355781424,-0.29290636360818983,-0.03951843011570702
149,Alumoklyuchevskite,07,Klyuchevskite,monoclinic,-0.20975194541273237,-0.20754503389623624,-0.27526995165998974
150,Alumolukrahnite,08,Natrochalcite-Helmutwinklerite,triclinic,-0.23204040078824112,-0.18098326851639937,0.3140461365053253
151,Alumotantite,04,Not in a structural group,orthorhombic,0.644012253243657,-0.09877133054313698,0.017282274707880206
152,Alumovesuvianite,09,Vesuvianite,tetragonal,-0.1780183447276705,-0.1692301725139945,0.027545492544229725
153,Alunite,07,Alunite-Alunite,hexagonal,-0.21235397408006573,-0.2690075730630722,-0.2500593951727461
154,Alunogen,07,Not in a structural group,triclinic,-0.3463481759839494,0.24275733094556257,-0.37406240494312365
155,Alvanite,04,Chalcoalumite,monoclinic,-0.22218755284301955,-0.22581600077412411,0.3042455542580708
156,Alvesite,09,Elpidite,orthorhombic,0.6341053973806083,-0.07170846499768319,0.03879245724488933
157,Alwilkinsite-(Y),07,Not in a structural group,orthorhombic,-0.2484071960772393,-0.35422839066613,-0.27505544063806925
158,Amableite-(Ce),09,Eudialyte,hexagonal,0.6033810180671058,-0.10259207141280927,0.052835499066036365
159,Amakinite,04,Brucite,hexagonal,0.5848604931747755,-0.16999225596996687,0.03472951602171111
160,Amamoorite,09,Ilvaite,monoclinic,0.5898360182884541,-0.07750151436444185,0.053682895885440736
161,Amarantite,07,Amarantite,triclinic,-0.24022936984200388,-0.18330922496773394,-0.26387713056622397
162,Amarillite,07,Tamarugite,monoclinic,-0.34584430044901204,0.24246293265397265,-0.31682399247912224
163,Amaterasuite,09,Not in a structural group,orthorhombic,0.6315873034429387,-0.08681669992926459,0.0496500785319296
164,Amblygonite,08,Titanite-Amblygonite,triclinic,-0.2523207520821356,-0.004082257219608226,0.3301182288260891
165,Ambrinoite,02,Not in a structural group,triclinic,0.6343720663490484,-0.08791908090452344,0.0382097812892963
166,Ameghinite,06,Not in a structural group,monoclinic,0.6034638568206441,-0.14862670392459643,0.03685814218303347
167,Amesite,09,"Clay, Serpentine","triclinic, hexagonal",-0.11923272426343404,-0.20574150206261477,0.02196259767651649
168,Amgaite,07,Malladrite,hexagonal,-0.22787826557771265,0.3589501328290175,-0.4179154466654434
169,Amicite,09,Gismondine,monoclinic,0.6092165607698701,-0.08903818937332725,0.015440213776741539
170,Aminoffite,09,Not in a structural group,tetragonal,0.5904841016839363,-0.10438125829689249,0.029923486352782393
171,Ammineite,03,Not in a structural group,orthorhombic,0.6240319337780339,-0.03908935963938487,0.00484146985871697
172,Ammonioalunite,07,Alunite-Alunite,hexagonal,-0.21498880751507526,-0.2601377659335159,-0.2592033478094729
173,Ammonioborite,06,Not in a structural group,monoclinic,0.6203844740744751,-0.15647351083791647,0.018074728143096415
174,Ammoniojarosite,07,Alunite-Alunite,hexagonal,-0.21821113013633775,-0.2531411696288646,-0.24675667416329988
175,Ammoniolasalite,04,Pascoite,monoclinic,0.6084032635681326,-0.17540604944256344,0.040207705047252074
176,Ammonioleucite,09,Analcime,tetragonal,0.60591992256483,-0.14967023688314834,0.022420278684789557
177,Ammoniomagnesiovoltaite,07,Voltaite,cubic,-0.2869654369196021,-0.16764015801226906,-0.2717244520415204
178,Ammoniomathesiusite,07,Mathesiusite,tetragonal,-0.2482690276428308,-0.26410070199216346,-0.159888135122817
