Nickel-Strunz Source Name,Nickel-Strunz Classification
Aluminum,01.AA.05
Rhenium,01.AB.05
Brass,01.AB.10a
Tongxinite,01.AB.10b
Amalgam,01.AD.00
Goldamalgam,01.AD.20b
Kamacite,01.AE.05
Antitaenite,01.AE.10
IMA2008-055,01.AG.05
IMA2007-036,01.BB.
Fersilicite,01.BB.15
Ferdisilicite,01.BB.20
Fullerite,01.CB.05c
Sulfur,01.CC.05
Tantalum,01.XX.00
Mertieite-II,02.AC.10b
Mertieite-I,02.AC.15b
Naldretteite,02.AC.25d
Borishanskiite,02.AC.45c
Argentite,02.BA.30a
Manganoshadlunite,02.BB.15a
Arsenosulvanite,02.CB.07.0
Hexatestibiopanickelite,02.CC.05
Dayingite,02.DA.05
Ferrorhodsite,02.DA.05
Platynite,02.DC.05
Joseite,02.DC.05d
Protojoseite,02.DC.05e
Sztrokayite,02.DC.05e
Hastite,02.EB.10a
Platarsite,02.EB.25
Arzakite,02.FC.15a
IMA2007-010,02.G
Argentotennantite,02.GB.05
Giraudite,02.GB.05
Freibergite,02.GB.05
Hakite,02.GB.05
Tennantite,02.GB.05
Tetrahedrite,02.GB.05
Antimonpearceite,02.GB.15
Arsenpolybasite,02.GB.15
Baumhauerite-2a,02.HC.05b
Bismutoplagionite,02.HC.10b
Incaite,02.HF.25b
Potosiite,02.HF.25b
IMA2005-036,02.JA.05a
IMA2008-058,02.JA.05a
Hodrushite,02.JA.10c
IMA2008-053,02.JB.25i
Bursaite,02.JB.40a
Andorite,02.JB.40a
Schirmerite,02.JB.40d
Stibioenargite,02.KA.05
Horsfordite,02.XX.00
Imgreite,02.XX.00
Bravoite,02.XX.00
Isochalcopyrite,02.XX.00
Bayankhanite,02.XX.00
Dzhezkazganite,02.XX.00
Horobetsuite,02.XX.00
Matraite,02.XX.00
Iridisite,02.XX.00
Kitaibelite,02.XX.00
Prassoite,02.XX.00
Jeromite,02.XX.00
Parajamesonite,02.XX.00
Sakharovaite,02.XX.00
Volfsonite,02.XX.00
